event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_atom_L1-dcache-loads_,med,cpu_atom_L1-dcache-loads__med,0.1945,0.1945,弱相关,0.0,极显著,3.3887,高差异,238.87,10925725.2087,37024004.8899,0.4271,小效应,0.0,显著
cpu_atom_L1-dcache-stores_,mean,cpu_atom_L1-dcache-stores__mean,0.1178,0.1178,弱相关,0.0,显著,1.457,低差异,45.7012,17912128.8463,26098180.5242,0.2555,小效应,0.0,显著
cpu_atom_L1-dcache-stores_,std,cpu_atom_L1-dcache-stores__std,-0.144,0.144,弱相关,0.0,极显著,0.7633,低差异,-23.6664,30641014.3244,23389397.9552,-0.3134,小效应,0.0,显著
cpu_atom_L1-dcache-stores_,max,cpu_atom_L1-dcache-stores__max,-0.1795,0.1795,弱相关,0.0,极显著,0.7327,低差异,-26.7307,158223969.9748,115929599.2996,-0.393,小效应,0.0,显著
cpu_atom_L1-dcache-stores_,med,cpu_atom_L1-dcache-stores__med,0.217,0.217,弱相关,0.0,极显著,4.0978,高差异,309.7804,4625981.7451,18956366.3201,0.4789,小效应,0.0,显著
cpu_atom_L1-icache-load-misses_,mean,cpu_atom_L1-icache-load-misses__mean,0.0511,0.0511,弱相关,0.014798,显著,1.1298,低差异,12.9839,8026908.6431,9069111.1427,0.1102,小效应,0.016248784313725492,显著
cpu_atom_L1-icache-load-misses_,std,cpu_atom_L1-icache-load-misses__std,-0.4162,0.4162,中等相关,0.0,极显著,0.5442,低差异,-45.583,13562369.584,7380239.4473,-0.9861,大效应,0.0,显著
cpu_atom_L1-icache-load-misses_,max,cpu_atom_L1-icache-load-misses__max,-0.4938,0.4938,中等相关,0.0,极显著,0.514,低差异,-48.6007,76821724.9692,39485817.2843,-1.2234,大效应,0.0,显著
cpu_atom_L1-icache-load-misses_,med,cpu_atom_L1-icache-load-misses__med,0.2234,0.2234,弱相关,0.0,极显著,2.7103,高差异,171.0322,2575586.9734,6980670.3899,0.4938,小效应,0.0,显著
cpu_atom_LLC-loads_,mean,cpu_atom_LLC-loads__mean,0.014,0.014,弱相关,0.505422,不显著,1.0375,低差异,3.7492,322069.3666,334144.4986,0.0301,小效应,0.514611490909091,不显著
cpu_atom_LLC-loads_,std,cpu_atom_LLC-loads__std,-0.4314,0.4314,中等相关,0.0,极显著,0.5016,低差异,-49.842,603024.0381,302464.6511,-1.0302,大效应,0.0,显著
cpu_atom_LLC-loads_,max,cpu_atom_LLC-loads__max,-0.4791,0.4791,中等相关,0.0,极显著,0.4684,低差异,-53.157,3492705.5322,1636086.9693,-1.1759,大效应,0.0,显著
cpu_atom_LLC-loads_,med,cpu_atom_LLC-loads__med,0.1944,0.1944,弱相关,0.0,极显著,3.0101,高差异,201.0064,81459.2353,245197.5192,0.4269,小效应,0.0,显著
cpu_atom_LLC-stores_,mean,cpu_atom_LLC-stores__mean,0.1118,0.1118,弱相关,0.0,显著,1.4722,低差异,47.223,177421.0238,261204.4888,0.2424,小效应,0.0,显著
cpu_atom_LLC-stores_,std,cpu_atom_LLC-stores__std,-0.0524,0.0524,弱相关,0.012355,显著,0.9154,低差异,-8.4614,282936.8249,258996.4285,-0.1131,小效应,0.013745960264900662,显著
